x;y
Электропривод для модуля пожаротушения;Electric Drive for Fire Extinguisher Modul
Модуль газового пожаротушения рабочее давление кгс см вместимость л диаметр условного прохода ЗПУ мм с пневмопуском;Gas Fire Extinguisher Module with Working Pressure kg/cm2, Capacity l, Diameter of Conditional Passage ZPU mm with Pneumopum
Электротушитель порошковый ОП масса заряда кг;Electrical Powder Fire Extinguisher with OPP Charge Weight k
Приборы сигнальные и световые арматура сигнальная с неоновой лампой переменное напряжение В степень защиты IP установочное отверстие мм размер x x мм;Signaling and Lighting Equipment, Signaling Equipment with Neon Lamp, Alternating Voltage, IP Protection Degree, Installed Opening mm, Sizes x x m
Преобразователь измерительный датчик разности давления воздуха предельно допускаемое рабочее давление МПа два штуцера силиконовые трубки диаметром мм длиной мм;Pressure Differential Measuring Transformer with Pressure Limits, Two Shutters, Silicone Tubes, Diameter mm, Length m
Оповещатель охранно пожарный звуковой и световой дБ В мА;Alarm Notifier Fire Guard with Sound and Light, dB, m
Пульт селекторной связи на абонентов громкая связь автоматический полудуплекс полная конференция телефонный режим настольно настенное крепление питание В;Selector Call Switching Panel for Subscribers with Loud Connection, Automatic Half-Duplex Full Conference Telephone Mode, Desktop Wall-Mounted, Voltag
Пульт управления выносным настольным ручного управления светофорным объектом на расстоянии до м;Remote Table Control Panel with Manual Control of Traffic Light Object at a Distance of up to 
Пульт инженера для вывода значений сигналов просмотра и редактирования параметров режима работы контроллера;Engineer's Panel for Outputting Signal Values, Viewing, and Editing Controller Parameter
Шкаф контрольно пусковой для систем пожаротушения и дымоудаления мощность управляемой нагрузки кВт номинальный коммутируемый ток А;Control and Startup Panel for Fire Extinguishing and Smoke Extraction Systems, Controlled Load Power kW, Nominal Short-Circuit Current 
Сигнализатор загазованности природным газом бытовой двухпороговый напряжение питания В;Natural Gas Domestic Gas Detector, Two-Threshold Voltage Power Supply 
Часы кварцевые цифровые блок постовые потребляемая мощность ВА;Quartz Digital Clock Block Postal Power Consumption V
Видеокамера цифровая тип матрицы CMOS дюйма с объективом мм AV выход HDMI USB;Digital Camera, CMOS Matrix Type, Inches, Objective Lens mm, AV Output, HDMI, US
Видеорегистратор четырехканальный сетевой xIP видеовхода xHDMI Ultra HD K xVGA x видеовыход x IP xRCA аудиовыхода xRCA аудиовыход видеопоток аудиопоток кбит;Four-Channel Network Video Recorder with xIP Video Inputs, xHDMI, Ultra HD, K, xVGA, Video Output x, IP, xRCA, Audio Outputs xRCA, Audio Stream, Bitstrea
Громкоговоритель настенный мощность Вт;Wall-mounted Speaker, Power W
Устройство вызывное применяется при совместной работе с телефонными аппаратами или другими приборами ток при подключении В с частотой Гц;Calling Device, Applied in Combination with Telephone Apparatus or Other Devices, Voltage, Frequency GH
Плата шифраторов ПШ для стенда проверки и контроля устройств резервирования предохранителей размеры x мм;PSH Shielding Plate for Stand Testing and Control of Devices, Reserve and Protecting Fuses, Sizes x m
Диоды тип Д А;Diode Type 
Тиристор КУ А;Thyristor KU
Диск жесткий серверный типа HDD объем памяти Гб буферная память Мб внешняя скорость передачи данных Мб с;Hard Disk Drive, Server Type HDD, Volume Capacity GB, Buffer Memory MB, External Data Transmission Speed Mbp
Панели модульные компенсационные закрытые к шкафам сетевым металлическим x мм;Modular Compensation Closed Panels to Cabinets, Network, Metal x m
Монитор жидкокристаллический диагональ LED подсветка TFT панель максимальное разрешение х соотношение сторон контрастность яркость кд м время отклика мс угол обзора пластиковый корпус;Liquid Crystal Display Monitor with LED Backlight, TFT Panel, Maximum Resolution x, Aspect Ratio, Contrast Ratio, Brightness cd/m2, Response Time ms, Viewing Angle, Plastic Casin
Выключатели автоматические выдвижные с двигательным приводом с максимальным расцепителем тока количество полюсов номинальный ток А;Automatic Toggle Switches with Drive and Maximum Current Breaker, Number of Poles, Nominal Current 
Кнопки переключатели управления с одной функцией напряжение В ток А;Single Function Control Switch Buttons, Voltage, Current 
Блоки резисторов напряжение до В номинальный ток А;Resistor Blocks, Voltage up to V, Nominal Current 
Внутренний вентилятор распределительного шкафа мощность м ч;Internal Fan of Distribution Shaft Power m3/
Шкаф автоматики количество контролируемых аналоговых сигналов количество контролируемых дискретных сигналов количество контролируемых цепей по параметрам ток кодирования сопротивление изоляции ;Automation Cabinet, Number of Controlled Analog Signals, Number of Controlled Digital Signals, Number of Controlled Circuits by Parameters, Current, Insulation Resistanc
Выключатели пакетные герметические тип ПВ М Б корпус пластмассовый;Hermetic Packaging Circuit Breakers, Type PVM B, Plastic Housin
Выключатель тумблер открытого исполнения тв ;Open Execution Toggle Switc
Электростанции дизельные с водовоздушной радиаторной системой охлаждения одноагрегатные напряжение В частота Гц мощность кВт;Diesel Generators with Water-Air Radiator Cooling Single-Aggregate, Voltage, Frequency, Power k
Командоаппараты кулачковые регулируемые КА ;Regulating Lever Command Apparatuse
Пневмоприставка ПВЛ ;Pneumostation PV
Электронный пускорегулирующий аппарат ЭПРА для модулей со светоизлучающими диодами с внутренней защитой от короткого замыкания цепи;Electronic Pulse-Regulating Apparatus EPRA for Modules with Light-Emitting Diodes with Internal Short-Circuit Protectio
Выключатель тумблер открытого исполнения тв ;Open Execution Toggle Switc
Электростанции дизельные с водовоздушной радиаторной системой охлаждения одноагрегатные напряжение В частота Гц мощность кВт;Diesel Generators with Water-Air Radiator Cooling Single-Aggregate, Voltage, Frequency, Power k
Командоаппараты кулачковые регулируемые КА ;Regulating Lever Command Apparatuse
Пневмоприставка ПВЛ ;Pneumostation PV
Электронный пускорегулирующий аппарат ЭПРА для модулей со светоизлучающими диодами с внутренней защитой от короткого замыкания цепи;Electronic Pulse-Regulating Apparatus EPRA for Modules with Light-Emitting Diodes with Internal Short-Circuit Protectio
Выключатели и переключатели постоянного тока ПН М;Реле постоянного тока отключающего типа М
Микровыключатели тип МП Л УХЛ;Мини-реле МП (УХЛ) для постоянного тока
Выключатель вакуумный электромагнитный стационарный напряжение кВ ток отключения кА номинальный ток А климатическое исполнение УХЛ;Вакуумный электромагнитный стационарный старт-стоп ключ напряжением кВ/током А для климатических условий
Выключатели разъединители переменного тока тип ВА ВР двухполюсные боковая рукоятка присоединения внешних проводников заднее расположение плоскости подсоединения внешних зажимов параллельно плоскости монтажа со вспомогательными контактами номинальный ток А;Двухполюсный разъединитель ВА ВР с боковой рукояткой и задним расположением плоскости подсоединения для параллельного монтажа с вспомогательными контактами
Выключатели врубные переменного тока тип ВР ВРА двухполюсные боковая рукоятка присоединения внешних проводников переднее расположение плоскости подсоединения внешних зажимов перпендикулярно плоскости монтажа со вспомогательными контактами номинальный ток А;Двухполюсный врубной разъединитель ВР ВРА с передним расположением плоскости подсоединения и перпендикулярным монтажу вспомогательных контактов
Батарея аккумуляторная необслуживаемая номинальным напряжением В емкость А ч;Необслуживаемая аккумуляторная батарея с номинальным напряжением В и емкостью А
Аккумулятор свинцово кислотный стационарный малообслуживаемый номинальное напряжение В номинальная емкость А ч;Стационарный свинцово-кислотный аккумулятор с малой необслуживаемостью и номинальным напряжением В и емкостью А
Блок резервного питания без аккумулятора номинальное напряжение В емкость А ч;Резервное питание без аккумулятора с номинальным напряжением В и емкостью А
Источник электропитания вторичный бесперебойный для отапливаемых помещений с импульсным стабилизатором номинальное выходное напряжение В номинальный ток А;Бесперебойное вторичное источник электропитания с импульсным стабилизатором для отапливаемых помещений с номинальным напряжением В и током А
Блок конденсаторов применение в схеме тоннель рельсовых цепей;Конденсаторный блок для тоннельных рельсовых цепей
Блок конденсаторов и резисторов для эксплуатации в составе аппаратуры электрической централизации питание блока осуществляется от источника постоянного тока номинальным напряжением от до В;Блок конденсаторов и резисторов для электрической централизации питание блока от постоянного тока с номинальным напряжением от до В
Звонок электрический бытовой зуммер напряжение подаваемое на кнопку не более В;Бытовой электрический звонок с ограниченным напряжением на кнопке
Плиты электрические бытовые с духовым шкафом х конфорочные мощность кВт размер x x мм;Бытовая электрическая плита с духовым шкафом и конфорочная мощность кВт, размер xxмм
Автоматизированная система коммерческого учета электроэнергии АСКУЭ;Автоматизированная система учета электроэнергии для коммерческих целей
Трансформатор однофазный сухой многоцелевого назначения тип ОСМ У ;Сухой однофазный трансформатор многоцелевого назначения тип ОСМ У
Подстанция трансформаторная комплектная железнодорожная мощность кВА напряжение на стороне ВН кВ на стороне НН кВ;Железнодорожная подстанция с комплектным трансформатором, мощность кВА, напряжение на стороне ВН кВ и НН кВ
Установка персонального досмотра зона сканирования х мм;Зона персонального досмотра с сканированием размером х мм
Детектор обнаружитель паров и следов взрывчатых веществ пороговая чувствительность не менее г см размер х х мм;Детектор взрывчатых веществ с пороговой чувствительностью не менее г см и размером хх мм
Металлодетектор стационарный арочный зоны обнаружения габариты прохода х х мм габаритный размер х х мм;Стационарный арочный металлодетектор с габаритами прохода хх мм и габаритным размером хх мм
Горелки сварочные для роботизированной дуговой сварки в среде защитного инертного и активного газа;Горелки сварочные для роботизированной дуговой сварки в защитном и активном газовом окружении
Индикатор налива цистерн во взрывозащищенном исполнении;Взрывозащищенный индикатор налива цистерн
Электронагреватель карбидкремниевый диаметр рабочей части мм длина рабочей части мм два холодных выхода длиной мм;Карбидкремниевый электронагреватель с диаметром рабочей части мм и длиной рабочей части мм, с двумя холодными выходами длиной мм
Прибор для измерения и регистрации характеристик напряжения временных характеристик и показателей качества электрической энергии класс А;Прибор для измерения и регистрации характеристик напряжения, временных характеристик и качества электрической энергии по классу А
Устройства комплектные низковольтные шкафного типа с напряжением главной цепи В В В В переменного тока частотой Гц и В В В В и В постоянного тока;Комплектные низковольтные шкафные устройства с напряжением главной цепи В В В В на переменном токе частотой Гц и В В В В и В постоянном токе
Контакторы электромагнитные постоянного и переменного тока двухполюсные номинальный ток главной цепи А переменное напряжение и В В В В и В постоянного тока;Электромагнитные контакторы двухполюсные для постоянного и переменного тока, номинальный ток главной цепи А, переменное напряжение и В В В В, и постоянный ток В
Пускатели электромагнитные нереверсивные без реле номинальный ток А;Нереверсивные пускатели электромагнитные без реле с номинальным током А
Контроллер локального управления объектом мощность не более ВА скорость передачи данных от до бит сек размер x x мм;Контроллер локального управления объектом с максимальной мощностью не более ВА, скорость передачи данных до бит в сек и размером хх мм
Табло электронное передняя панель из акрилового стекла корпус из окрашенного алюминия количество знаков цифровой индикации высота символов мм яркость светодиодной матрицы мКд напряжение В мощность Вт размер х х мм;Электронное табло с передней панелью из акрилового стекла, корпус из окрашенного алюминия, количество знаков цифровой индикации, высота символов мм, яркость светодиодной матрицы мКд, напряжение В, мощность Вт, размер хх мм
Светофор линзовый двузначный для метрополитена белый белый ;Линзовый светофор двузначный для метрополитена белый белый
Манометр общетехнический с поверкой материал корпуса сталь бар Ду мм G снизу ;Общетехнический манометр с поверкой, материал корпуса - стальной бар Ду мм, с нижней гранью G
Машина для мойки и сушки роликовых подшипников производительность установки не менее подшипников час напряжение В;Машина для мойки и сушки роликовых подшипников с производительностью установки не менее подшипников в час и напряжением В
Направляющая труба стальная бесшовная артикул ;Бесшовная стальная направляющая труба артикул
Щит с автоматами и клеммником для установки контроллеров размер x x мм;Щит для установки контроллеров с автоматами и клеммником, размер хх мм
Полуавтомат сварочный;Полуавтомат сварочный
Датчик температуры теплоносителя погружной с гильзой медной длиной мм диапазон температуры от до C;Термометр погружной медной гильзы с датчиком для температуры до C
Регуляторы температуры с внутренней резьбой диапазон регулирования от до C условное давление МПа диаметр мм;Регулятор температуры с внутренней резьбой и давлением до МПа диаметр мм
Теплосчетчик механический диаметр условного прохода мм;Механический тепловой счетчик диаметром мм
Кондуктометр солемер с одним датчиком для непрерывного измерения удельной электрической проводимости до мкСм см и солесодержания до мг дм водных сред с давлением до МПа температурой до C с возможностью подключения второго канала измерения;Кондуктометр с датчиком для солемера и проводимости в водных средах до МПа и C
Агрегаты вентиляторные без регулирующего устройства производительность до м час;Вентилятор без регулировки с производительностью до м час
Агрегаты вентиляторные с ручным приводом производительность до м час;Ручной вентилятор с производительностью до м час
Испаритель для приборов холодильных электрических бытовых;Испаритель для бытовых холодильных приборов
Вентиляторы канальные ВКП мощность кВт;Канальный вентилятор с мощностью кВт
Вентилятор крышной радиальный тип ВКРВ ДУ;Крышной радиальный вентилятор с типом ВКРВ
Дымососы тип Д производительность тыс м ч установленная мощность кВт;Дымосос тип Д с производительностью тыс м ч и мощностью кВт
Электроручные вентиляционные установки с электродвигателем;Электроручной вентилятор с электродвигателем
Вентиляторы осевые из углеродистой стали с электродвигателем мощность кВт об мин;Осевой вентилятор из углеродистой стали с электродвигателем мощность кВт в об/мин
Камеры приточные ПК без секции производительность до тыс м час;Приточная камера ПК с производительностью до тыс м час
Блок наружный сплит системы мощности охлаждения кВт;Наружный сплит-блок системы охлаждения мощностью кВт
Кондиционеры промышленные местные автономные общего назначения производительностью по холоду кВт;Промышленный кондиционер с автономным холодильным производительностью кВт
Агрегаты пылеулавливающие тип ПУА производительность м час;Пылеулавливающий агрегат тип ПУА с производительностью м час
Агрегаты вентиляционно приточные производительность до м ч;Вентиляционно-приточный агрегат с производительностью до м ч
Контроллер логический САУ МП;Логический контроллер САУ МП
Завесы воздушные электрические для горизонтальной и вертикальной установки напряжением В мощностью кВт расходом воздуха м час;Электрические воздушные завесы для горизонтальной и вертикальной установки с мощностью кВт и расходом воздуха м час
Завесы воздушные электрические шибирующие для изоляции промышленных помещений от наружного воздуха из стали а г размер x x x мм;Электрические шибирующие воздушные завесы из стали а г размер x x x мм
Воздухонагреватели водяные для круглых воздуховодов диаметр мм двухрядные;Круглый воздухонагреватель водяной двухрядный для круглых воздуховодов диаметр мм
Теплообменник пластинчатый разборный рабочий давление бар количество пластин штук;Разборный пластинчатый теплообменник с рабочим давлением бар и количеством пластин штук
Клапан противопожарный КПУ Аэ x О У сечением мм с электроприводом огнезадерживающий сейсмостойкий из углеродистой стали класс безопасности;Клапан противопожарный с сейсмостойкостью и электроприводом из углеродистой стали класс безопасности
Установка обеззараживания воды ультрафиолетовым излучением условная производительность м ч потребляемая мощность не более кВт;Установка для обеззараживания воды ультрафиолетовым излучением с производительностью м ч и потребляемой мощностью не более кВт
Счетчик холодной воды MTK;Холодный водяной счетчик типа MTK
Плита газовая бытовая напольная отдельностоящая со щитком духовым и сушильным шкафом четырехгорелочная;Газовая напольная плита отдельностоящая с духом и сушильным шкафом четырехгорелочная
Счетчик газа СГ МТ Р;Газовый счетчик СГ МТ Р
Лифт грузовой малый остановки для установки в глухую шахту грузоподъемность кг скорость движения м с высота м;Грузовой лифт малый для установки в глухую шахту с грузоподъемностью кг, скоростью движения м/с и высотой м
Платформы подъемные с наклонным перемещением для инвалидов с коляской грузоподъемность кг скорость движения м с длина направляющей мм;Подъемная платформа с наклонным перемещением для инвалидов с коляской грузоподъемностью кг, скоростью движения м/с и длиной направляющей мм
Лифт пассажирский на остановок внутренний размер кабины x мм скорость движения кабины м сек грузоподъемность кг;Пассажирский лифт с внутренним размером кабины x мм, скоростью движения кабины м/с и грузоподъемностью кг
Эскалаторы угол наклона градусов высота подъема м скорость м с ширина ступени мм;Эскалатор с угольным наклоном градусов, высотой подъема м, скоростью м/с и шириной ступени мм
Устройства диспетчерского контроля за работой лифтов типа ОБЬ СДК КРИСТАЛЛ КДК обеспечивающие двухстороннюю переговорную связь информирование о срабатыванию электрических цепей безопасности информирование о несанкционированном открывании дверей шахты информирование об открытии двери крышки устройства управления лифта без машинного помещения;Система диспетчерского контроля за работой лифтов типа КРИСТАЛЛ КДК, обеспечивающая двухстороннюю переговорную связь, информирование о срабатывании электрических цепей безопасности, несанкционированном открытии дверей шахты, а также об открытии двери крышки устройства управления лифтом без машинного помещения
Электронасос центробежный погружной для загряжненых вод типоразмер ГНОМ Тр;Центробежный погружной электронасос для загряжденных вод типоразмера ГНОМ Тр
Станция управления СУЗ максимальный ток не более А;Управленческая станция СУЗ с максимальным током не более А
Насосные установки с одним насосом;Насосная установка с одним насосом
Электронасосный агрегат ОНВ одвивинной с электродвигателем взрывозащищенного исполнения класс безопасности; Взрывозащищенный электронасосный агрегат ОНВ одвивинной с электродвигателем класс безопасности
Клапаны и устройства смывные;Смывающие устройства и клапаны
Затвор дисковый с электроприводом для стволов пожарных роботизированных пожарных роботов кабельных ввода диаметр условного прохода мм;Электропривод дискового затвора для роботизированных пожарных пожарных роботов с кабельным вводом, условного прохода мм
Задвижка чугунная параллельная фланцевая с выдвижным шпинделем для воды и пара типа ч бр давление МПа диаметр мм с электроприводом типа НА;Чугунная параллельная фланцевая задвижка с выдвижным шпинделем для воды и пара типа ч бр, с электроприводом типа НА
Клапаны смесительные с электроприводом автоматические с внутренней резьбой с изменяемой настройкой со спускным краном и импульсной трубкой диапазн перепада давления МПа кгс см диаметр мм;Клапан смесительный с электроприводом, автоматический, с внутренней резьбой, изменяемой настройкой, спускным краном и импульсной трубкой, с перепадами давления МПа кгс см, диаметром мм
Клапаны и краны предохранительные запорные типа ПКН В диаметр мм;Предохранительные запорные клапаны типа ПКН В диаметром мм
Клапан впускной электромагнитный типа для обслуживания анализатора;Электромагнитный впускной клапан типа для обслуживания анализатора
Клапаны регулирующие двухседельные фланцевые с электроприводом диаметром мм;Регулирующие двухседельные фланцевые клапаны с электроприводом диаметром мм
Клапаны чугунные запорно регулирующие односедельные типа ч п с ЭИМ типа КТ КТ давление МПА кгс см температура рабочей среды до C диаметр мм;Чугунные запорно-регулирующие односедельные клапаны типа ч п с ЭИМ типа КТ КТ, давление МПА кгс см, температура рабочей среды до C, диаметр мм
Клапаны электромагнитные с электроприводом нормально закрытые диаметром мм;Электромагнитные клапаны электроприводом нормального закрытия диаметром мм
Заслонки воздушные унифицированные типа АЗД с электрическим приводом МЭО размер x мм;Унифицированные электрические заслонки воздушные типа АЗД размера x мм
Электроприводы напряжением В для кранов шаровых полнопроходных с удлиненным шпинделем диаметром мм;Электропривод напряжением В для шаровых полнопроходных кранов с удлиненным шпинделем диаметром мм
Терморегуляторы угловые с дистанционным датчиком который объединен с регулятором температуры;Угловой терморегулятор с дистанционным датчиком, объединенным с регулятором температуры
Aппаратура цифровой связи совещаний АЦСС исполнение;Устройство для видеоконференций
Блок вентиляторов БВ;Блок вентиляции для раскроя
Датчик тепловой адресный ДТА;Тепловой датчик
Крейт КРМУ;Крепежный кронштейн
Модуль порошкового пожаротушения Модуль газопорошкового пожаротушения;Устройство газопорошкового пожаротушения
Радиостанция локомотивная РЛСМ;Радиостанция для локомотивов
Считыватель бесконтактный;Бесконтактный считыватель
Устройство антенно согласующее стационарное АСУС;Антенный устройство для стационарной системы
Датчик температуры цифровой ДТ Ц;Температурный датчик цифровой
Автомат диагностики сигнальной установки каналов дискретного ввода каналов измерения напряжения каналов измерения тока до приборов на одну линию связи дальность линии связи с контроллером до км;Устройство диагностики сигнальной системы
Устройство контроля тональных рельсовых цепей многоканальное измерительных каналов интерфейс связи RS до приборов на один порт концентратора дальность линии связи с контроллером до км;Многоканальное измерительное устройство для рельсовых цепей
Датчик температуры наружного воздуха системы контроля температуры рельсов диапазон измерений от С до С;Температурный датчик для рельсов
Привод ручной к разъединителю переменного тока ПРГ Б УХЛ;Ручной разъединитель переменного тока
Реле нейтральное НМШТ;Нейтральное реле
Реле электромагнитное РЭС;Электромагнитное реле
Трансформатор изолирующий мощность кВА;Изолирующий трансформатор
Электродвигатель стрелочный постоянного тока встраиваемый коллекторный номинальное напряжение В мощность Вт;Постоянный ток встраиваемый коллекторный электродвигатель
Фильтр защитный вводной ФЗ В;Защитный фильтр
Ампервольтомметр в ударопрочном корпусе с функцией измерения среднеквадратичного значения напряжения переменного тока сигналов кодовых рельсовых цепей на частотах Гц;Ударопрочный ампервольтовметер с функцией измерения
Комплект соединительный внутренний внешний шт;Соединительное устройство
Сигнализатор заземления индивидуальный цифровой СЗИЦ;Цифровой заземлительный сигнализатор
Замедлитель вагонный клещевидный унифицированный с пневматическим уравновешиванием тормозной системы высота до УГР мм количество звеньев двухрельсовый;Замедлитель вагонный клещевидный
Съемник Э;Съемник
Трансформатор;Трансформатор
Устройство заграждающее балочное с дистанционным управлением для сортировочных путей;Заграждение балочное с дистанционным управлением
Электромагнит соленоидный модернизированный для управления работой электропневматических клапанов рабочее напряжение постоянного тока В усиление рабочего хода кг с рабочий ход сердечника мм;Соленоидный электромагнит
Блок интерфейса с электрической централизацией напряжение питания В базовый адрес;Интерфейсный блок с электрической централизацией
Воздухосборник с электронной управляющей аппаратурой рабочее давление МПа емкость м напряжение В;Электронный воздухосборник
Гидроемкость системы аварийного охлаждения зоны САОЗ для АЭС с реактором типа ВВЭР класс безопасности класс сейсмостойкости;Система аварийного охлаждения
Кабина защитная КЗ h x x мм класса пулестойкости из армированного алюминиевого профиля;Защитная кабина
Бульдозеры рыхлители на тракторе мощность кВт л с;Рыхлитель на тракторе
Автогрейдеры тяжелого типа мощность кВт л с;Тяжелый автогрейдер
Грейдеры прицепные среднего типа;Прицепной грейдер
Комплексы скреперные емкость ковша м ;Скреперный комплекс
Установки двухбаровые на тракторе мощность кВт л с;Двухбаровый трактор
Грейферы широкозахватные на базе экскаватора для проходки траншей противофильтрационных завес;Широкозахватный грейфер
Экскаваторы дреноукладчики мощность кВт л с;Дреноукладчительный экскаватор
Экскаваторы планировщины на шасси автомобильного типа емкость ковша м ;Автомобильный планировочный экскаватор
Экскаваторы для подземных работ емкость ковша м ;Подземный экскаватор
